,area
0,574.5
1,2111.5
2,1302.0
3,2574.0
4,1676.5
5,784.0
6,744.5
7,1034.0
8,853.0
9,1571.5
10,771.0
11,842.5
12,1238.0
13,525.0
14,883.5
15,1222.5
16,1637.5
17,1544.0
18,489.0
19,735.5
20,1231.5
21,1155.5
22,1559.0
23,524.5
24,858.5
25,712.5
26,1539.0
27,1861.0
28,1017.0
29,1510.5
30,1595.5
31,753.5
32,1243.0
33,1529.5
34,699.0
35,1526.0
36,687.5
37,1321.0
38,1373.0
39,772.0
40,1108.0
41,842.5
42,1715.5
43,1245.5
44,2524.0
45,956.0
46,467.0
47,711.0
48,1090.5
49,767.0
50,1222.0
51,1022.0
52,1169.5
53,832.5
54,555.5
55,3057.5
56,649.5
57,1534.0
58,1079.5
59,1013.0
60,1197.0
61,751.5
62,1587.5
63,1009.0
64,1642.5
65,1663.5
66,1425.0
67,843.5
68,2272.5
69,1410.5
70,735.5
71,2190.0
72,1411.5
73,1236.5
74,1966.5
75,1365.0
76,450.5
77,995.0
78,1036.0
79,1723.5
80,1519.0
81,1063.5
82,1451.0
83,795.0
84,5250.5
85,1241.5
86,3646.0
87,1440.0
88,1487.0
89,747.0
90,800.5
91,528.0
92,1169.0
93,1419.0
94,609.0
95,919.0
96,740.0
97,2215.5
98,1062.0
99,814.5
100,1024.5
101,1284.0
102,887.5
103,663.0
104,705.0
105,1591.0
106,1113.5
107,1057.0
108,1351.0
109,967.0
110,1219.5
111,564.5
112,1356.5
113,1559.0
114,1584.0
115,4051.5
116,1598.5
117,1016.0
118,698.0
119,758.0
120,1608.0
121,954.0
122,588.0
123,3782.0
124,1347.5
125,897.0
126,1657.5
127,2835.0
128,1521.5
129,1641.5
130,2335.0
131,1594.0
132,1745.5
133,769.5
134,960.5
135,1760.0
136,1954.0
137,1248.0
138,1133.5
139,1075.0
140,1607.0
141,1530.5
142,1623.0
143,1594.5
144,1801.0
145,1594.5
146,1418.0
147,1388.0
148,2506.0
149,907.0
150,1523.5
151,713.5
152,1383.0
153,708.0
154,1028.0
155,1830.5
156,1467.5
157,1368.0
158,1298.5
159,638.5
160,2079.5
161,1529.0
162,1121.5
163,3603.0
164,831.0
165,1433.0
166,2099.0
167,918.0
168,1849.0
169,3352.5
170,855.0
171,677.0
172,578.0
173,1610.0
174,674.0
175,2412.0
176,1028.0
177,1039.5
178,1491.0
179,4053.0
180,765.5
181,892.5
182,1241.0
183,666.0
184,1318.0
185,1467.5
186,1430.0
187,1490.5
188,538.0
189,811.0
190,1186.5
191,684.5
192,1036.0
193,1723.0
194,1028.5
195,1518.0
196,1040.0
197,1666.5
198,1725.0
199,1452.5
200,1775.0
201,2302.0
202,580.0
203,2700.0
204,1607.0
205,829.0
206,1299.5
207,1402.5
208,1354.5
209,670.0
210,1692.5
211,1164.0
212,949.5
213,1602.5
214,1918.0
215,1453.0
216,1640.0
217,691.0
218,1074.5
219,1930.5
220,1732.0
221,1464.5
222,5650.5
223,1238.0
224,1549.0
225,814.5
226,523.5
227,1716.5
228,1048.0
229,1317.5
230,1535.5
231,1641.0
232,733.0
233,1628.5
234,1115.5
235,943.0
236,1066.0
237,1261.0
238,762.0
239,811.0
240,1833.0
241,641.5
242,706.0
243,1636.5
244,2050.0
245,1251.0
246,2680.5
247,1757.5
248,1735.5
249,721.0
250,1581.5
251,994.0
252,562.5
253,1619.0
254,763.0
255,1581.5
256,1144.5
257,1612.0
258,1628.0
259,1732.5
260,1095.0
261,1065.0
262,1768.0
263,939.0
264,1112.5
265,2072.5
266,757.5
267,1578.0
268,2331.0
269,1759.5
270,1829.0
271,3382.5
272,1699.5
273,918.0
274,1696.5
275,612.5
276,2654.0
277,827.0
278,997.5
279,1537.0
280,1691.0
281,1874.0
282,1745.0
283,2371.5
284,1813.0
285,1205.0
286,4810.0
287,1611.0
288,1197.5
289,1705.0
290,1130.5
291,643.5
292,1443.0
293,1682.5
294,1021.5
295,918.0
296,1728.5
297,1667.5
298,1191.5
299,1761.0
300,731.5
301,1933.5
302,966.5
303,1692.0
304,1178.5
305,796.5
306,1153.5
307,1721.0
308,911.0
309,856.0
310,4156.0
311,1520.0
312,2364.0
313,1543.5
314,865.5
315,2484.5
316,943.0
317,2157.0
318,1959.0
319,1016.5
320,1710.5
321,753.0
322,1753.0
323,2280.0
324,1308.0
325,630.0
326,989.0
327,1827.0
328,1406.5
329,1364.5
330,1270.0
331,749.5
332,614.5
333,3014.0
334,2448.5
335,3537.5
336,716.5
337,808.5
338,1530.5
339,917.0
340,685.0
341,1603.5
342,3669.5
343,853.5
344,2851.5
345,1253.5
346,1414.5
347,1924.5
348,852.5
349,1435.5
350,870.0
351,972.0
352,616.0
353,1856.0
354,1247.0
355,632.5
356,4572.5
357,1744.5
358,1071.5
359,574.0
360,1817.0
361,1368.0
362,531.0
363,894.5
364,899.5
365,1391.5
366,4719.0
367,452.0
368,1652.5
369,1338.0
370,1610.0
371,1627.5
372,363.0
373,2136.5
374,788.5
375,1049.5
376,1924.5
377,1122.0
378,2517.5
379,699.0
380,820.0
381,1074.0
382,674.0
383,552.5
384,737.5
385,715.5
386,1747.5
387,2666.0
388,2390.5
389,1795.0
390,2059.5
391,1665.5
392,1763.0
393,2835.5
394,753.0
395,1736.5
396,1187.0
397,489.0
398,1001.5
399,836.5
400,837.5
401,658.0
402,1610.5
403,1503.5
404,847.0
405,1003.5
406,1143.5
407,656.5
408,1030.0
409,2110.5
410,1405.0
411,1852.5
412,1836.0
413,1377.0
414,1392.0
415,1764.5
416,1311.5
417,1847.0
418,844.5
419,1010.5
420,667.5
421,1194.5
422,1119.0
423,975.5
424,2289.0
425,388.0
426,1286.5
427,854.0
428,1775.0
429,2093.0
430,635.5
431,900.0
432,1888.0
433,1305.0
434,1944.5
435,2034.5
436,1825.5
437,1851.5
438,1495.5
439,989.0
440,1863.5
441,699.5
442,658.0
443,1172.5
444,1388.5
445,1249.5
446,1894.0
447,2655.0
448,466.0
449,1520.5
450,1948.5
451,791.5
452,1852.5
453,1643.0
454,751.5
455,3683.0
456,1443.0
457,1260.0
458,1677.5
459,1883.0
460,1293.0
461,792.5
462,2458.0
463,2984.5
464,1635.0
465,1010.5
466,712.5
467,2022.0
468,1235.5
469,1926.5
470,1874.5
471,798.0
472,1801.5
473,1916.5
474,983.5
475,1193.0
476,1782.5
477,1799.0
478,503.5
479,1909.5
480,712.5
481,1895.0
482,1886.0
483,1756.0
484,1256.0
485,631.0
486,1169.0
487,1614.0
488,935.0
489,597.0
490,1865.0
491,1712.0
492,1807.5
493,1427.5
494,832.0
495,1576.0
496,2248.0
497,767.5
498,1195.5
499,1714.5
500,852.0
501,1787.0
502,1899.0
503,1972.5
504,697.5
505,1817.0
506,1756.0
507,1667.5
508,1817.5
509,1792.5
510,3239.0
511,1260.0
512,1049.0
513,1733.5
514,1851.5
515,1458.0
516,713.5
517,2331.5
518,705.0
519,1809.0
520,1732.0
521,1841.5
522,1000.5
523,1119.5
524,1819.0
525,2141.0
526,2049.0
527,2034.5
528,1979.5
529,2034.0
530,1614.0
531,774.5
532,1773.0
533,1775.0
534,1024.0
535,1649.5
536,1892.5
537,1830.0
538,998.5
539,1837.5
540,1054.5
541,1433.5
542,517.0
543,1847.5
544,2396.5
545,1248.0
546,1639.5
547,759.5
548,1750.5
549,1846.0
550,2391.5
551,1902.0
552,641.5
553,1205.5
554,1007.5
555,1628.5
556,1981.5
557,1826.0
558,1848.0
559,680.0
560,1876.0
561,1792.0
562,2134.5
563,1292.5
