,area
0,1155.0
1,717.5
2,1615.5
3,1619.5
4,3008.0
5,3307.5
6,2599.5
7,1590.0
8,1576.5
9,1906.0
10,2805.5
11,2442.5
12,2019.0
13,3226.0
14,2161.0
15,3949.0
16,1804.0
17,2438.0
18,1300.0
19,1624.5
20,1704.5
21,2709.0
22,952.0
23,2621.0
24,2757.5
25,2859.0
26,1768.5
27,2411.5
28,2089.5
29,1722.5
30,2604.0
31,1573.0
32,1510.5
33,1771.0
34,3145.5
35,1083.0
36,1598.0
37,1212.5
38,2619.5
39,2403.5
40,3284.5
41,763.0
42,3320.5
43,1610.5
44,2076.5
45,2315.0
46,1097.0
47,1330.5
48,1698.0
49,710.0
50,1738.5
51,1916.5
52,1046.0
53,2108.5
54,1707.5
55,2576.0
56,2895.0
57,1403.0
58,1347.5
59,2857.0
60,4117.0
61,1062.0
62,2239.5
63,2163.0
64,2150.0
65,2835.0
66,2820.5
67,1862.0
68,2834.5
69,2768.0
70,1217.5
71,2155.0
72,1800.5
73,2556.0
74,2361.0
75,997.0
76,3534.0
77,1235.5
78,1829.0
79,2746.0
80,2745.0
81,2194.0
82,5926.0
83,1651.5
84,1481.5
85,1311.5
86,1625.0
87,2348.0
88,2687.0
89,1118.5
90,3208.0
91,1304.5
92,1309.0
93,5969.5
94,2150.0
95,1718.0
96,2293.5
97,2645.0
98,3112.5
99,1222.5
100,5171.0
101,2688.0
102,2521.0
103,3152.0
104,964.5
105,1421.5
106,2725.5
107,3014.5
108,1528.5
109,2957.0
110,3372.5
111,2991.5
112,2478.0
113,2209.5
114,4617.0
115,1265.0
116,1767.5
117,2434.5
118,2492.0
119,2914.5
120,2447.0
121,2931.5
122,1246.5
123,5833.0
124,1337.5
125,3244.5
126,4718.0
127,2582.0
128,3105.5
129,1800.5
130,1256.5
131,810.5
132,1690.5
133,3182.0
134,5636.5
135,717.5
136,1767.0
137,2738.5
138,1114.0
139,920.0
140,2175.5
141,3071.5
142,2636.0
143,3092.0
144,3135.0
145,2594.0
146,3925.5
147,1616.5
148,1481.0
149,1985.5
150,2636.5
151,1373.5
152,3291.0
153,2896.5
154,1643.5
155,5694.0
156,1168.5
157,2028.0
158,2784.5
159,1446.5
160,1727.0
161,2812.5
162,2170.5
163,2095.5
164,2855.5
165,4010.0
166,2471.0
167,3130.5
168,1656.0
169,2011.0
170,4212.5
171,1278.5
172,1537.0
173,4418.0
174,2796.0
175,2649.0
176,3225.5
177,1358.5
178,1685.5
179,3482.5
180,2183.0
181,1959.0
182,1789.5
183,2831.5
184,3065.5
185,5234.0
186,973.5
187,2393.0
188,1884.5
189,3004.5
190,3688.0
191,1074.0
192,1531.5
193,2553.0
194,1388.5
195,1312.5
196,3027.0
