,area
0,2570.0
1,1852.5
2,1008.0
3,1051.5
4,2187.5
5,4286.0
6,3269.0
7,2406.0
8,1588.5
9,2513.0
10,2400.5
11,2177.5
12,2573.0
13,2180.5
14,2558.0
15,2729.0
16,1821.0
17,2181.5
18,5609.0
19,5215.5
20,2163.0
21,2272.5
22,2462.0
23,2234.5
24,2255.0
25,2470.5
26,2696.0
27,2239.5
28,779.5
29,1782.5
30,2901.0
31,1115.0
32,1236.5
33,5804.5
34,1947.0
35,1938.0
36,2029.5
37,2477.0
38,2872.0
39,2436.5
40,2778.0
41,4911.5
42,5515.0
43,2369.5
44,2329.0
45,2370.0
46,2647.5
47,2326.5
48,2193.5
49,1878.0
50,2520.5
51,2043.5
52,2703.5
53,2805.5
54,3056.5
55,2472.5
56,2654.0
57,2125.0
58,4661.0
59,1730.0
60,1789.5
61,2711.5
62,1880.0
63,2256.0
64,1920.0
65,2534.0
66,2273.0
67,2209.5
68,2158.5
69,2158.5
70,954.0
71,2539.0
72,2663.5
73,2116.0
74,1243.5
75,2649.0
76,1633.0
77,2103.5
78,1719.5
79,2419.5
80,5102.0
81,1924.0
82,2073.0
83,2290.0
84,3145.5
85,2778.0
86,2971.5
87,122.5
88,2128.5
89,2538.0
90,1442.0
91,2584.5
92,2259.0
93,2467.5
94,1344.0
95,2222.5
96,2486.5
97,1175.5
98,2123.5
99,1525.0
100,2342.5
101,2710.0
102,2281.5
103,1615.5
104,2890.5
105,5074.5
106,1189.5
107,2222.0
108,877.0
109,6712.0
110,2295.0
111,328.5
112,2176.0
113,2598.5
114,3600.5
115,2739.5
116,1969.0
117,1060.0
118,2572.0
119,1572.0
120,2733.0
121,2604.0
122,2219.0
123,4922.0
124,2581.0
125,2391.0
126,2737.5
127,2508.0
128,5376.5
129,2519.0
130,1861.5
131,1942.0
132,2096.0
133,2617.0
134,2728.5
135,4784.0
136,758.5
137,2379.5
138,4656.5
139,1421.5
140,4407.0
141,2470.0
142,2039.0
143,2253.5
144,989.0
145,2076.0
146,2474.5
147,2214.5
148,2116.5
149,2710.0
150,2651.5
151,2418.0
152,3076.5
153,2358.5
154,2470.5
155,2667.5
156,3174.5
157,1897.0
158,1971.5
159,2921.5
160,2223.0
161,2485.0
162,1799.0
163,1418.0
164,2372.0
165,2718.5
166,1390.5
167,1722.0
168,1376.0
169,1080.5
170,1027.5
171,1951.5
172,2907.0
173,1840.5
174,2156.5
175,4374.0
176,2013.5
177,2075.0
178,6300.0
179,2195.5
180,2585.0
181,1062.0
182,1161.5
