,area
0,512.0
1,649.5
2,635.0
3,810.0
4,831.5
5,807.0
6,1731.0
7,794.5
8,1707.5
9,972.5
10,773.5
11,797.0
12,2167.5
13,3320.0
14,901.0
15,883.0
16,894.5
17,905.5
18,694.0
19,791.0
20,706.5
21,796.0
22,838.5
23,702.0
24,818.5
25,862.0
26,1456.5
27,732.0
28,780.0
29,910.0
30,936.0
31,815.0
32,719.0
33,834.0
34,1045.5
35,2093.5
36,2304.0
37,749.5
38,787.0
39,2225.5
40,674.5
41,916.0
42,844.0
43,910.0
44,900.0
45,1439.5
46,902.0
47,777.5
48,1691.0
49,1733.5
50,680.5
51,804.5
52,563.5
53,2258.0
54,1601.0
55,814.5
56,882.5
57,512.0
58,796.0
59,1010.5
60,622.0
61,624.0
62,3675.0
63,757.0
64,902.5
65,1468.0
66,871.5
67,934.5
68,827.0
69,1180.0
70,313.5
71,566.5
72,649.0
73,704.5
74,1534.5
75,889.5
76,536.0
77,827.5
78,1009.5
79,845.5
80,962.5
81,860.5
82,1577.0
83,800.0
84,882.0
85,696.5
86,833.0
87,726.5
88,723.5
89,777.0
90,784.5
91,833.0
92,995.5
93,1110.0
94,874.5
95,2425.5
96,987.0
97,655.5
98,737.0
99,764.5
100,625.0
101,908.5
102,784.5
103,932.5
104,1575.5
105,744.0
106,835.5
107,959.0
108,772.5
109,911.0
110,941.0
111,799.5
112,765.5
113,970.0
114,831.0
115,817.0
116,864.0
117,830.0
118,1387.0
119,778.0
120,870.5
121,1177.0
122,859.0
123,842.5
124,501.0
125,983.0
126,948.5
127,1432.0
128,725.0
129,932.0
130,786.5
131,408.0
132,739.0
133,1029.0
134,757.5
135,1838.0
136,832.5
137,881.0
138,505.5
139,1860.0
140,1811.0
141,2255.5
142,818.0
143,878.0
144,649.5
145,930.5
146,428.0
147,448.0
148,1667.0
149,1033.5
150,839.0
151,720.5
152,729.5
153,772.0
154,970.5
155,907.0
156,880.0
157,872.5
158,749.5
159,826.5
160,820.0
161,1853.5
162,1810.0
163,1713.0
164,940.0
165,1568.0
166,892.5
167,631.0
168,799.5
169,848.5
170,1006.0
171,854.0
172,770.5
173,737.0
174,826.0
175,988.0
176,1688.0
177,960.5
178,1038.5
179,1586.0
180,407.0
181,1750.5
182,562.0
183,859.5
184,933.5
185,916.0
186,1401.0
187,999.0
188,930.0
189,822.0
190,958.0
191,900.5
192,2634.5
193,1128.5
194,925.0
195,697.5
196,925.5
197,1781.5
198,895.0
199,890.0
200,829.0
201,928.0
202,807.0
203,772.0
204,2823.0
205,2115.5
206,796.0
207,954.0
208,1542.5
209,866.0
210,2050.0
211,763.5
212,966.0
213,881.0
214,890.0
215,2277.5
216,719.5
217,1344.5
218,892.5
219,1821.0
220,821.5
221,850.0
222,826.5
223,892.5
224,866.5
225,1747.5
226,852.0
227,699.5
228,2485.5
229,885.0
230,940.5
231,1031.5
232,967.0
233,1081.5
234,995.0
235,905.5
236,983.5
237,986.0
238,806.5
239,1103.0
240,1082.0
241,747.5
242,808.5
243,801.5
244,929.0
245,865.0
246,937.0
247,1056.5
248,929.5
249,978.0
250,1058.5
251,972.0
252,863.0
253,930.5
254,940.5
255,1726.5
256,933.0
257,864.5
258,1062.5
259,883.0
260,763.5
261,948.5
262,1057.0
263,394.0
264,318.5
265,847.5
266,818.5
267,930.0
268,967.5
269,994.5
270,931.0
271,670.0
272,1026.0
273,849.0
274,652.5
275,644.5
276,882.5
277,1675.5
278,1924.5
279,1855.0
280,782.0
281,1350.0
282,1645.5
283,1652.0
284,894.0
285,501.5
286,849.5
287,1098.5
288,948.5
289,998.5
290,886.5
291,734.5
292,907.0
293,913.5
294,3403.5
295,1141.0
296,953.0
297,966.0
298,806.5
299,1983.0
300,947.5
301,750.5
302,991.0
303,995.0
304,1530.5
305,986.5
306,1843.0
307,1031.5
308,948.5
309,877.0
310,1581.5
311,1008.5
312,961.5
313,1020.0
314,1013.5
315,914.5
316,846.0
317,1220.0
318,1035.0
319,989.5
320,934.5
321,2050.0
322,1039.5
323,930.0
324,985.0
325,3560.5
326,876.0
327,846.5
328,837.0
329,1012.5
330,839.5
331,905.5
332,966.0
333,964.5
334,1081.0
335,1077.0
336,914.0
337,910.0
338,962.5
339,968.5
340,978.0
341,902.0
342,853.5
343,1915.0
344,751.5
345,915.5
346,1046.0
347,600.0
348,937.5
349,1043.5
350,828.0
351,1058.0
352,944.5
353,817.5
354,894.0
355,884.5
356,1015.0
357,1046.5
358,449.0
359,2710.0
360,1018.0
361,730.0
362,745.5
363,1898.5
364,943.5
365,1090.5
366,1686.0
367,1011.0
368,539.5
369,1813.0
370,1051.0
371,840.0
372,930.5
373,815.5
374,1030.5
375,375.5
376,2746.5
377,738.0
378,1910.0
379,1011.5
380,996.0
381,1012.5
382,2515.0
383,1430.5
384,955.0
385,909.0
386,1814.0
387,2962.0
388,2017.5
389,998.0
390,2544.0
391,764.0
392,1624.5
393,1592.5
394,415.0
395,901.0
396,792.5
397,1106.0
398,1038.5
399,1206.0
400,988.5
401,1005.0
402,1057.5
403,886.5
404,926.5
405,1052.5
406,2028.0
407,1171.0
408,873.5
409,1921.0
410,874.0
411,1109.5
412,945.5
413,934.5
414,1028.0
415,3075.0
416,916.0
417,903.0
418,1056.0
419,1596.5
420,1040.0
421,1329.5
422,825.5
423,736.5
424,962.5
425,1151.5
426,1091.5
427,1015.5
428,940.0
429,1031.5
430,856.5
431,918.0
432,515.0
433,1577.5
434,1045.5
435,2069.5
436,929.0
437,1055.0
438,991.0
439,2089.5
440,889.5
441,798.5
442,1807.5
443,940.0
444,1834.5
445,1011.5
446,1033.5
447,849.5
448,872.5
449,1206.0
450,973.5
451,905.0
452,989.0
453,966.0
454,991.5
455,852.5
456,997.5
457,1098.5
458,836.0
459,992.0
460,1022.0
461,969.0
462,985.5
463,2064.5
464,905.5
465,875.0
466,779.0
467,818.0
468,1006.0
469,990.5
470,976.5
471,1955.5
472,1039.5
473,994.5
474,1854.5
475,965.5
476,876.0
477,875.0
478,988.5
479,1916.0
480,1312.0
481,1085.0
482,828.0
483,969.0
484,917.0
485,1079.5
486,1060.5
487,1962.5
488,988.5
489,1669.5
490,613.0
491,1015.0
492,1152.5
493,735.5
494,855.0
495,1204.5
496,1068.5
497,1058.0
498,1009.5
499,1109.5
500,1915.5
501,1157.5
502,1094.5
503,1099.5
504,1070.0
505,1877.5
506,1486.0
507,1171.5
508,864.5
509,947.0
510,2150.5
511,868.5
512,1081.0
513,1217.5
514,2152.5
515,1141.5
516,1024.0
517,976.5
518,1011.0
519,1828.0
520,1138.5
521,2741.5
522,1044.0
523,1026.0
524,1082.5
525,1085.5
526,1004.5
527,2020.0
528,956.0
529,1086.0
530,1165.5
531,994.0
532,1966.5
533,1191.5
534,542.5
535,548.5
536,1117.0
537,1079.0
538,1178.5
539,1012.0
540,1013.5
541,800.5
542,1062.0
543,1128.0
544,2102.0
545,4013.0
546,1142.5
547,1052.0
548,1079.5
549,897.0
550,1122.5
551,977.5
